yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
102,9.01,9.01,9.01,9.7333,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01
103,9.02,9.02,9.02,9.8222,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02
104,8.78,8.78,8.78,9.8333,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78,8.78
105,8.9364,8.9364,8.9364,9.8222,8.9364,8.9364,8.9364,8.9364,8.9364,8.9364,8.9364,8.9364,8.9364,8.9364,8.9364,8.9364,8.9364
106,9.2,9.2,9.2,9.9333,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
107,9.4636,9.4636,9.4636,10.089,9.4636,9.4636,9.4636,9.4636,9.4636,9.4636,9.4636,9.4636,9.4636,9.4636,9.4636,9.4636,9.4636
108,9.5636,9.5636,9.5636,10.222,9.5636,9.5636,9.5636,9.5636,9.5636,9.5636,9.5636,9.5636,9.5636,9.5636,9.5636,9.5636,9.5636
109,9.7182,9.7182,9.7182,10.389,9.7182,9.7182,9.7182,9.7182,9.7182,9.7182,9.7182,9.7182,9.7182,9.7182,9.7182,9.7182,9.7182
110,9.8583,9.8583,9.8583,10.578,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583
111,9.8583,9.8583,9.8583,10.689,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583,9.8583
112,9.975,9.975,9.975,10.8,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975,9.975
113,10.208,10.208,10.208,10.978,10.208,10.208,10.208,10.208,10.208,10.208,10.208,10.208,10.208,10.208,10.208,10.208,10.208
114,10.425,10.425,10.425,11.144,10.425,10.425,10.425,10.425,10.425,10.425,10.425,10.425,10.425,10.425,10.425,10.425,10.425
115,10.233,10.233,10.233,11.237,10.233,10.233,10.233,10.233,10.233,10.233,10.233,10.233,10.233,10.233,10.233,10.233,10.233
116,10.567,10.567,10.567,11.362,10.567,10.567,10.567,10.567,10.567,10.567,10.567,10.567,10.567,10.567,10.567,10.567,10.567
117,10.792,10.792,10.792,11.575,10.792,10.792,10.792,10.792,10.792,10.792,10.792,10.792,10.792,10.792,10.792,10.792,10.792
118,10.533,10.533,10.533,11.775,10.533,10.533,10.533,10.533,10.533,10.533,10.533,10.533,10.533,10.533,10.533,10.533,10.533
119,10.755,10.755,10.755,11.938,10.755,10.755,10.755,10.755,10.755,10.755,10.755,10.755,10.755,10.755,10.755,10.755,10.755
120,10.909,10.909,10.909,12.075,10.909,10.909,10.909,10.909,10.909,10.909,10.909,10.909,10.909,10.909,10.909,10.909,10.909
121,10.864,10.864,10.864,12.162,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864,10.864
122,10.791,10.791,10.791,12.213,10.791,10.791,10.791,10.791,10.791,10.791,10.791,10.791,10.791,10.791,10.791,10.791,10.791
123,10.691,10.691,10.691,12.213,10.691,10.691,10.691,10.691,10.691,10.691,10.691,10.691,10.691,10.691,10.691,10.691,10.691
124,10.927,10.927,10.927,12.3,10.927,10.927,10.927,10.927,10.927,10.927,10.927,10.927,10.927,10.927,10.927,10.927,10.927
125,10.8,10.8,10.8,12.388,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8
126,10.727,10.727,10.727,12.438,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727
127,10.727,10.727,10.727,12.487,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727
128,10.7,10.7,10.7,12.562,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7
129,11.04,11.04,11.04,12.588,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04,11.04
130,10.936,10.936,10.936,12.663,10.936,10.936,10.936,10.936,10.936,10.936,10.936,10.936,10.936,10.936,10.936,10.936,10.936
