yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
30,534.79,418.33,79.594,7662.1,141.02,74.41,83.568,20.334,0,68.687,13.993,1018.9,13.993,13.993,27.531,136.27,14.501
31,512.77,376.87,66.356,7787.1,138.14,73.975,83.398,16.664,0,65.369,12.882,1003,12.882,12.882,27.099,123.18,13.797
32,498.54,341.45,67.205,7754.1,123.93,72.46,64.027,15.468,0,74.712,12.231,1000.2,12.231,12.231,26.731,116.12,13.144
33,480.47,302.85,57.861,7730.5,105.98,64.138,57.127,12.915,0,54.059,11.121,993.33,11.121,11.121,25.4,108.83,12.082
34,465.48,275.24,59.404,7428.5,102.98,57.835,55.015,13.198,0,64.522,14.081,992.67,14.081,14.081,24.952,108.78,12.028
35,458.97,270.61,57.405,7201.9,94.437,51.593,49.885,12.235,0,51.334,11.631,1000.3,11.631,11.631,23.503,115.46,12.155
36,444.6,248.55,54.368,6850.3,89.104,49.517,46.987,11.884,0,46.005,11.053,1009.3,11.053,11.053,23.94,105.98,10.919
37,439.41,244.68,56.539,6840.9,91.912,46.86,49.29,14.586,0,48.653,10.874,1011.6,10.874,10.874,23.836,104.82,10.843
38,436.15,246.14,59.513,6982.5,96.395,45.708,47.874,13.226,0,43.757,10.994,984.75,10.994,10.994,23.859,102.96,11.56
39,442.29,253.18,57.696,6734.7,99.84,48.087,48.901,12.349,0,41.137,9.9864,957.92,9.9864,9.9864,24.062,102.11,11.681
40,416.35,237.32,52.188,6616.7,91.416,47.664,45.949,10.13,0,36.977,9.0331,931.92,9.0331,9.0331,23.135,93.115,10.513
41,413.33,224.27,48.962,6458.6,89.174,45.217,43.027,8.9174,0,35.339,8.5092,913.33,8.5092,8.5092,21.745,89.245,9.8519
42,389.99,210.3,47.516,6397.2,84.195,40.427,38.936,8.2378,0,39.856,9.8023,900.75,9.8023,9.8023,20.447,84.125,8.8891
43,408,206.24,50.463,6246.2,83.299,38.678,38.985,9.2525,0,41.503,9.3729,892.83,9.3729,9.3729,20.508,87.995,8.6201
44,390.51,192.46,43.792,6227.3,78.037,37.267,37.397,8.0325,0,35.24,8.2001,879.17,8.2001,8.2001,19.406,81.812,8.0443
45,378.6,187.91,48.242,6123.5,79.287,36.838,36.496,7.176,0,35.691,8.2827,867.75,8.2827,8.2827,18.824,79.146,8.1387
46,389.64,215.23,46.18,6090.5,88.915,42.994,36.774,7.124,0,37.963,8.7806,857.42,8.7806,8.7806,18.401,84.219,7.898
47,378.5,198.27,44.014,6074,78.957,38.733,35.792,7.9924,0,36.814,8.2449,837.33,8.2449,8.2449,18.328,79.594,7.563
48,371.49,185.26,45.64,6102.3,74.214,36.057,35.391,8.0231,0,35.833,9.1487,826,9.1487,9.1487,18.302,77.777,7.3293
